175,"6,455.58","2,293.08",
176,"6,446.56","2,285.37",
177,"6,395.14","2,247.35",
178,"6,312.50","2,218.59",
179,"6,299.85","2,239.00",
180,"6,319.79","2,233.92",
181,"6,297.40","2,241.56",
182,"6,269.50","2,246.02",
183,"6,231.88","2,248.71",
184,"6,111.54","2,211.18",
185,"6,123.49","2,227.79",
186,"6,120.20","2,209.79",
187,"6,107.51","2,216.71",
188,"6,044.22","2,191.81",
189,"5,903.62","2,127.36",
190,"5,978.17","2,137.49",
191,"6,008.89","2,144.82",
192,"5,916.80","2,092.00",
193,"5,985.57","2,119.63",
194,"5,964.27","2,122.89",
195,"5,930.55","2,101.42",
196,"5,952.85","2,128.80",
197,"5,762.76","2,058.31",
198,"5,746.44","2,054.71",
199,"6,023.88","2,186.54",
200,"6,045.36","2,196.73",
201,"6,051.86","2,199.30",
202,"6,032.60","2,204.97",
203,"6,013.89","2,188.56",
204,"5,973.78","2,168.82",
205,"5,947.32","2,159.80",
206,"5,711.32","2,058.52",
207,"5,739.59","2,069.89",
208,"5,744.39","2,086.01",
209,"5,715.18","2,067.25",
210,"5,743.18","2,075.51",
211,"5,809.48","2,098.23",
212,"5,732.90","2,065.30",
213,"5,666.73","2,037.40",
214,"5,631.19","2,020.48",
215,"5,790.34","2,081.44",
216,"5,812.54","2,057.86",
217,"5,714.31","2,025.22",
218,"5,726.46","2,034.57",
219,"5,723.41","2,034.93",
220,"5,738.90","2,054.22",
221,"5,743.65","2,053.60",
222,"5,961.49","2,129.19",
223,"6,203.82","2,224.10",
224,"6,169.78","2,211.02",
225,"6,167.45","2,217.23",
226,"5,985.59","2,138.74",
227,"5,990.33","2,155.23",
228,"6,016.70","2,146.61",
229,"6,046.77","2,155.70",
230,"5,978.08","2,126.83",
231,"6,011.32","2,136.92",
232,"5,970.68","2,110.16",
233,"6,022.21","2,145.24",
234,"6,308.23","2,272.52",
235,"6,281.20","2,265.59",
236,"6,384.35","2,309.68",
237,"6,401.86","2,324.39",
238,"6,344.23","2,294.02",
239,"6,252.77","2,264.02",
240,"6,304.30","2,283.14",
241,"6,168.74","2,229.93",
242,"6,228.97","2,248.68",
243,"6,323.43","2,297.04",
,,,
,,,
